"","min.d50.wdbc.b.z","max.d50.wdbc.b.z"
26573,22073,35318
0.53615,0.0018662,23.899
11.992,0.0046104,21.726
26.475,0.0010171,26.475
0.13181,4.5135e-05,1.6422
0.027888,0.015593,0.029611
1.3637,0.21849,1.8364
0.47274,0.39303,0.6236
0.31364,0.10903,3.0959
0.00071179,2.8556e-07,0.0015197
6.5657e-05,4.0231e-05,0.19259
0.069111,0.067844,0.071181
0.0076298,0.0057827,0.0092146
0.03813,0.03584,0.041016
0.0005051,0.00021758,0.73489
0.16738,0.11955,0.59723
