33988,3.8046e-05,0.01807,6.708e-05,4.2448e-05,0.033587,1.4796e-06,0.554,0.008422,3.0115e-09,0.084472,0.070058,0.0064862,0.038358,4.4574,2.5367e-08
45592,0.0001002,0.024441,0.00031052,3.1338e-05,0.033566,1.598e-06,0.55608,0.029667,2.392e-09,0.063165,0.070079,0.0064618,0.038366,1.2648,5.9688e-09
44736,2.1177e-05,0.12127,0.015728,3.5655e-05,0.033542,3.9255e-07,0.55851,0.028161,5.9585e-10,0.064617,0.070106,0.0064335,0.038367,1.3321,1.5939e-09
33147,0.00068119,0.40417,0.00043765,0.0043494,0.033564,5.7685e-06,0.55618,0.005936,1.207e-08,0.086901,0.070081,0.0064606,0.038361,6.3225,1.2738e-07
55906,0.0057805,0.70384,0.00054245,0.0035684,0.033557,2.4629e-06,0.55691,0.041232,2.9858e-09,0.051573,0.070089,0.0064521,0.038368,0.90989,4.5911e-09
38791,0.0013257,0.91947,0.33414,0.003358,0.033544,6.7197e-06,0.55752,0.018393,1.1939e-08,0.074392,0.070094,0.0064448,0.038364,2.0399,5.1385e-08
62730,0.00066387,1.3616,0.00022975,3.8316e-05,0.033353,2.5737e-06,0.57846,0.044861,2.3815e-09,0.047533,0.070317,0.0062105,0.038356,0.83438,3.8829e-09
32504,0.0026306,9.9882,0.0055045,0.048684,0.033536,2.8317e-05,0.55506,0.0044197,6.0407e-08,0.08835,0.070065,0.0064734,0.038365,8.4925,7.3906e-07
31225,0.0015959,5.5406,0.031493,0.043722,0.033739,5.5525e-06,0.5372,0.0037624,1.2342e-08,0.089586,0.069852,0.0066891,0.038318,9.9983,1.6394e-07
36551,3.4783e-07,0.00098806,7.0023e-05,3.2679e-05,0.033222,1.1287e-06,0.59396,0.0085998,1.6327e-09,0.083544,0.070469,0.0060474,0.03834,4.3472,1.93e-08
34866,0.00079998,1.1122,2.5236,0.087012,0.033592,3.0745e-07,0.54871,0.011344,5.9965e-10,0.081546,0.069986,0.006548,0.038361,3.3108,4.0504e-09
25927,0.00086019,0.035077,1.5761e-06,2.5562e-07,0.015804,1.4003e-08,0.46726,0.12443,1.5795e-11,0.19589,0.068774,0.0076806,0.053959,0.6346,0.049108
27367,8.6179e-08,1.8476,0.044703,6.9102e-06,0.015822,3.4815e-07,0.49328,0.12247,3.4504e-10,0.19158,0.069174,0.0072747,0.053539,0.63787,0.049432
27827,0.0061024,0.87486,0.00061986,0.016867,0.015962,7.549e-06,0.50158,0.1198,7.5049e-09,0.18726,0.069297,0.0071545,0.053515,0.6423,0.049406
24050,0.018643,0.49694,0.00052583,0.0097626,0.015647,6.2424e-06,0.43334,0.12954,7.5967e-09,0.20725,0.068171,0.0082818,0.054094,0.62988,0.048888
22945,0.00025023,0.023742,0.0059152,0.00010777,0.01725,7.009e-06,0.41368,0.10866,9.363e-09,0.17882,0.067829,0.0086825,0.054055,0.6744,0.048446
23094,0.0015433,0.11489,0.0001827,0.0054571,0.01716,1.7105e-06,0.41642,0.10918,2.3369e-09,0.17664,0.067887,0.0086252,0.054839,0.66717,0.04815
27671,0.070622,2.2031,0.02223,0.038487,0.015866,2.2067e-06,0.49885,0.12064,1.8772e-09,0.18581,0.069255,0.0071933,0.054384,0.63516,0.049015
53967,2.6449e-05,2.1448,8.9281,0.0084998,0.033463,4.7676e-07,0.5555,0.039407,5.8244e-10,0.053116,0.070053,0.0064664,0.038395,0.95182,1.0247e-09
